"Entity","Code","Year","article_per_million_people","patent_per_million_people","researcher_per_million_people","RD_spending_proportion","patent_ai_per_million_people","classification","Developed_Status"
"Chile","CHL",2014,324.88126,25.555336,431.09735,0.37668,0.055977907,"High-income countries","Developed Countries"
"Chile","CHL",2015,338.67032,24.789982,459.8299,0.38296,0.22163577,"High-income countries","Developed Countries"
"Chile","CHL",2017,368.01752,23.137333,499.76147,0.35679,0.053882606,"High-income countries","Developed Countries"
"Chile","CHL",2018,397.7044,21.709545,529.07153,0.36916,0.052929137,"High-income countries","Developed Countries"
"Chile","CHL",2019,413.6567,23.004826,512.46594,0.34205,0.052089445,"High-income countries","Developed Countries"
"China","CHN",2013,258.9611,512.27075,1081.9646,1.99786,1.4184109,"Upper-middle-income countries","Developing Countries"
"China","CHN",2014,278.069,578.3576,1104.0831,2.02243,1.7896873,"Upper-middle-income countries","Developing Countries"
"China","CHN",2015,291.1726,694.7272,1164.9403,2.05701,2.826376,"Upper-middle-income countries","Developing Countries"
"China","CHN",2016,311.065,859.5405,1210.7411,2.10033,5.6664543,"Upper-middle-income countries","Developing Countries"
"China","CHN",2017,331.8821,883.30865,1237.742,2.11603,10.481078,"Upper-middle-income countries","Developing Countries"
"China","CHN",2018,374.79453,983.5898,1319.356,2.14058,19.441738,"Upper-middle-income countries","Developing Countries"
"China","CHN",2019,429.3368,874.604,1485.8175,2.24463,30.775816,"Upper-middle-income countries","Developing Countries"
"China","CHN",2020,470.01917,943.7777,1601.9221,2.40666,46.329655,"Upper-middle-income countries","Developing Countries"
"Colombia","COL",2015,113.52782,6.8124332,70.47698,0.36542,0.042580426,"Upper-middle-income countries","Developing Countries"
"Colombia","COL",2017,136.67471,12.305676,89.86123,0.26109,0.041553196,"Upper-middle-income countries","Developing Countries"
"Costa Rica","CRI",2020,130.0539,2.3423285,365.69418,0.33002,0.19863644,"Upper-middle-income countries","Developing Countries"
"Croatia","HRV",2015,958.69604,39.71965,1490.7673,0.82816,0.23902105,"High-income countries","Developed Countries"
"Croatia","HRV",2018,1110.288,29.083126,1912.0684,0.95125,0.4969107,"High-income countries","Developed Countries"
"Croatia","HRV",2019,1112.61,47.218365,2127.9348,1.07963,0.2508568,"High-income countries","Developed Countries"
"Czechia","CZE",2013,1291.6039,93.58463,3258.8213,1.87924,0.09513694,"High-income countries","Developed Countries"
"Czechia","CZE",2017,1536.9762,75.394196,3721.122,1.76855,0.09486457,"High-income countries","Developed Countries"
"Czechia","CZE",2018,1479.0455,64.35936,3911.207,1.89906,0.0947963,"High-income countries","Developed Countries"
"Czechia","CZE",2019,1529.7533,72.602165,4033.886,1.92734,0.09474298,"High-income countries","Developed Countries"
"Czechia","CZE",2020,1423.803,63.90686,4194.9453,1.98599,0.28435668,"High-income countries","Developed Countries"
"Denmark","DNK",2013,2276.2588,238.38335,7102.1606,2.97048,1.4246703,"High-income countries","Developed Countries"
"Denmark","DNK",2014,2482.003,243.68861,7345.6,2.91409,1.9490439,"High-income countries","Developed Countries"
"Denmark","DNK",2015,2484.29,257.49432,7561.0166,3.05497,3.6947775,"High-income countries","Developed Countries"
"Denmark","DNK",2016,2485.7996,271.95358,7873.9688,3.09283,2.6186244,"High-income countries","Developed Countries"
"Denmark","DNK",2017,2510.9312,259.70468,7683.442,2.93124,3.295654,"High-income countries","Developed Countries"
"Denmark","DNK",2018,2514.6023,218.84308,7635.7773,2.96603,3.9697437,"High-income countries","Developed Countries"
"Denmark","DNK",2019,2507.3472,233.09665,7727.2393,2.89685,2.4077244,"High-income countries","Developed Countries"
"Denmark","DNK",2020,2629.5007,216.45699,7667.3037,2.96873,2.915187,"High-income countries","Developed Countries"
"Finland","FIN",2013,1959.5824,293.44315,7223.025,3.27137,0.5515661,"High-income countries","Developed Countries"
"Finland","FIN",2014,2026.7455,259.82178,7022.443,3.14751,2.0140302,"High-income countries","Developed Countries"
"Finland","FIN",2015,1989.9528,235.2423,6856.335,2.87196,2.0074027,"High-income countries","Developed Countries"
"Finland","FIN",2016,2021.9656,229.29031,6543.966,2.72442,1.4557447,"High-income countries","Developed Countries"
"Finland","FIN",2017,1955.2131,252.35352,6731.792,2.72787,3.449278,"High-income countries","Developed Countries"
"Finland","FIN",2018,1966.9783,251.47472,6872.984,2.75749,6.708085,"High-income countries","Developed Countries"
"Finland","FIN",2019,1998.8522,239.24489,7246.272,2.79961,5.614157,"High-income countries","Developed Countries"
"Finland","FIN",2020,2048.7341,287.18857,7548.5024,2.91243,6.5103965,"High-income countries","Developed Countries"
"France","FRA",2013,1146.9307,231.94061,4199.8374,2.23703,0.43486542,"High-income countries","Developed Countries"
"France","FRA",2014,1134.8892,228.02867,4282.457,2.27592,0.51010555,"High-income countries","Developed Countries"
"France","FRA",2015,1119.801,224.19765,4386.2363,2.22702,0.5391555,"High-income countries","Developed Countries"
"France","FRA",2016,1105.5305,222.0058,4467.428,2.22238,1.0140297,"High-income countries","Developed Countries"
"France","FRA",2017,1080.8252,224.72841,4624.697,2.19888,1.4857982,"High-income countries","Developed Countries"
"France","FRA",2018,1052.971,222.51846,4756.584,2.19666,2.8083227,"High-income countries","Developed Countries"
"France","FRA",2019,1021.0948,218.9915,4870.456,2.19179,3.362267,"High-income countries","Developed Countries"
"France","FRA",2020,1030.994,198.06125,4986.18,2.28189,4.2788687,"High-income countries","Developed Countries"
"Germany","DEU",2013,1281.1879,579.7338,4343.3174,2.83599,0.8020574,"High-income countries","Developed Countries"
"Germany","DEU",2014,1299.3832,588.25665,4304.865,2.87784,0.8233378,"High-income countries","Developed Countries"
"Germany","DEU",2015,1295.7166,577.3381,4733.3584,2.93379,1.4742156,"High-income countries","Developed Countries"
"Germany","DEU",2016,1309.3911,588.83954,4862.625,2.94039,2.8395326,"High-income countries","Developed Countries"
"Germany","DEU",2017,1305.6702,578.3403,5087.2544,3.0471,4.8012123,"High-income countries","Developed Countries"
"Germany","DEU",2018,1297.7705,562.3505,5239.9717,3.11011,7.616785,"High-income countries","Developed Countries"
"Germany","DEU",2019,1307.6083,560.8303,5428.2153,3.16779,10.160463,"High-income countries","Developed Countries"
"Germany","DEU",2020,1312.6134,507.14642,5413.824,3.12979,12.316344,"High-income countries","Developed Countries"
"Greece","GRC",2014,1051.1405,59.928352,2743.655,0.83998,0.09180065,"High-income countries","Developed Countries"
"Greece","GRC",2015,1027.1913,50.894615,3202.904,0.96605,0.18482749,"High-income countries","Developed Countries"
"Greece","GRC",2016,1023.9101,56.373447,2728.3442,1.00529,0.37121227,"High-income countries","Developed Countries"
"Greece","GRC",2017,1019.6919,46.57588,3264.146,1.15228,1.3018979,"High-income countries","Developed Countries"
"Greece","GRC",2018,1030.0382,40.439095,3441.065,1.21371,0.83870375,"High-income countries","Developed Countries"
"Greece","GRC",2019,1086.692,33.667404,3684.8691,1.27496,0.27988783,"High-income countries","Developed Countries"
"Greece","GRC",2020,1192.7686,38.05091,4073.5474,1.50793,0.46731722,"High-income countries","Developed Countries"
"Hungary","HUN",2013,627.75824,64.88364,2526.4375,1.3841,0.20223789,"Upper-middle-income countries","Developing Countries"
"Hungary","HUN",2014,670.00433,55.330887,2653.4382,1.3446,0.101390645,"High-income countries","Developed Countries"
"Hungary","HUN",2015,662.8123,57.80024,2568.3477,1.33959,0.8130734,"High-income countries","Developed Countries"
"Hungary","HUN",2016,654.6501,62.760403,2624.606,1.17987,0.5096565,"High-income countries","Developed Countries"
"Hungary","HUN",2017,678.97546,50.66943,2901.0154,1.31702,0.6131455,"High-income countries","Developed Countries"
"Hungary","HUN",2018,683.74316,41.63103,3845.4915,1.50775,0.30692437,"High-income countries","Developed Countries"
"Hungary","HUN",2019,729.6313,43.697174,4020.5776,1.47291,0.40940207,"High-income countries","Developed Countries"
"Hungary","HUN",2020,766.9469,43.894867,4308.954,1.59315,0.20513956,"High-income countries","Developed Countries"
"India","IND",2015,73.92104,9.508896,215.18774,0.6931,0.083582796,"Lower-middle-income countries","Developing Countries"
"India","IND",2018,93.15351,11.8984375,251.01398,0.66001,0.19641234,"Lower-middle-income countries","Developing Countries"
"India","IND",2020,106.85621,16.572052,260.38327,0.64636,0.0035647633,"Lower-middle-income countries","Developing Countries"
"Indonesia","IDN",2016,25.717646,4.2046947,179.60323,0.24535,0.0075577954,"Lower-middle-income countries","Developing Countries"
"Ireland","IRL",2016,1481.0453,16.752226,5184.7153,1.17507,0.42074215,"High-income countries","Developed Countries"
"Ireland","IRL",2018,1506.342,15.720324,4749.617,1.1672,0.4104621,"High-income countries","Developed Countries"
"Italy","ITA",2013,1109.172,137.7324,1927.1466,1.30107,0.16486995,"High-income countries","Developed Countries"
"Italy","ITA",2014,1133.9178,142.58292,1958.3632,1.3384,0.09890517,"High-income countries","Developed Countries"
"Italy","ITA",2016,1165.7328,147.17567,2222.2085,1.36642,0.34723312,"High-income countries","Developed Countries"
"Italy","ITA",2017,1189.2164,144.04034,2336.939,1.37013,0.48020944,"High-income countries","Developed Countries"
"Italy","ITA",2018,1216.191,148.98769,2541.0383,1.42443,0.69677746,"High-income countries","Developed Countries"
"Italy","ITA",2019,1277.4911,154.5173,2688.6467,1.46159,0.99783576,"High-income countries","Developed Countries"
"Italy","ITA",2020,1435.6044,169.0908,2632.2798,1.5068,1.0849108,"High-income countries","Developed Countries"
"Japan","JPN",2013,845.00085,2128.237,5169.265,3.27896,2.771609,"High-income countries","Developed Countries"
"Japan","JPN",2014,819.24066,2086.3337,5352.762,3.36788,4.0161085,"High-income countries","Developed Countries"
"Japan","JPN",2015,794.21655,2034.0833,5198.0977,3.24071,5.8062854,"High-income countries","Developed Countries"
"Japan","JPN",2016,798.352,2049.2644,5235.1567,3.10666,10.679463,"High-income countries","Developed Countries"
"Japan","JPN",2017,797.16644,2055.0051,5331.2715,3.16636,18.722748,"High-income countries","Developed Countries"
"Japan","JPN",2018,807.35706,2008.857,5361.966,3.2192,28.216084,"High-income countries","Developed Countries"
"Japan","JPN",2019,803.2314,1950.6218,5409.5356,3.21824,33.46503,"High-income countries","Developed Countries"
"Japan","JPN",2020,806.5349,1815.2296,5495.251,3.26897,33.74384,"High-income countries","Developed Countries"
"Latvia","LVA",2017,776.94525,46.039078,1772.6136,0.51104,0.51477426,"High-income countries","Developed Countries"
"Latvia","LVA",2020,774.5418,49.023304,2135.0178,0.72991,0.526006,"High-income countries","Developed Countries"
"Lithuania","LTU",2014,818.3903,41.069435,3014.187,1.03011,0.6818557,"High-income countries","Developed Countries"
"Lithuania","LTU",2015,820.784,34.078285,2741.4385,1.04341,1.3765705,"High-income countries","Developed Countries"
"Lithuania","LTU",2016,777.43756,32.38258,2891.3635,0.84241,1.0456212,"High-income countries","Developed Countries"
"Lithuania","LTU",2017,810.3663,27.888222,2994.6099,0.89626,1.4137683,"High-income countries","Developed Countries"
"Lithuania","LTU",2018,799.6411,28.162863,3092.7454,0.93662,3.2114367,"High-income countries","Developed Countries"
"Lithuania","LTU",2019,857.79877,31.589111,3364.4673,0.99353,0.71554893,"High-income countries","Developed Countries"
"Lithuania","LTU",2020,971.14136,33.68473,3590.7473,1.13361,1.7884187,"High-income countries","Developed Countries"
"Luxembourg","LUX",2016,1444.0436,245.13376,4802.845,1.2669,3.4275274,"High-income countries","Developed Countries"
"Luxembourg","LUX",2017,1326.4519,261.61768,4971.165,1.23898,5.0292954,"High-income countries","Developed Countries"
"Luxembourg","LUX",2018,1450.2238,250.0329,4756.47,1.1718,14.800003,"High-income countries","Developed Countries"
"Luxembourg","LUX",2019,1465.5449,188.71545,5092.308,1.18287,16.124716,"High-income countries","Developed Countries"
"Luxembourg","LUX",2020,1502.1233,204.63165,4690.3027,1.0915,20.615385,"High-income countries","Developed Countries"
"Malaysia","MYS",2014,533.8381,44.206364,2020.0774,1.26275,0.32577392,"Upper-middle-income countries","Developing Countries"
"Malaysia","MYS",2015,578.4514,40.94135,2265.2007,1.27945,0.57631725,"Upper-middle-income countries","Developing Countries"
"Malaysia","MYS",2016,590.15625,35.176853,2349.7727,1.41517,0.31456736,"Upper-middle-income countries","Developing Countries"
"Malaysia","MYS",2018,605.31177,34.44522,2139.5198,1.04026,0.27346513,"Upper-middle-income countries","Developing Countries"
"Malaysia","MYS",2020,659.1822,29.789167,726.4572,0.95088,0.059015233,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2013,112.6717,10.31625,256.73706,0.42503,0.27039915,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2014,118.607506,10.492111,265.29367,0.4353,0.17531519,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2015,121.03639,11.352486,286.9425,0.42943,0.38819775,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2016,123.68627,10.780188,321.8083,0.38778,0.52351165,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2017,130.3869,10.85972,320.14697,0.32832,0.5672607,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2018,136.49193,12.53892,317.40692,0.30643,0.73049116,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2019,147.86572,10.432879,335.1387,0.28394,0.8349039,"Upper-middle-income countries","Developing Countries"
"Mexico","MEX",2020,159.32152,8.984248,357.97888,0.30003,0.8201954,"Upper-middle-income countries","Developing Countries"
"Netherlands","NLD",2013,1852.7609,137.24739,4920.6885,2.15606,0.11787543,"High-income countries","Developed Countries"
"Netherlands","NLD",2014,1858.6813,135.30667,4950.7935,2.1733,0.058719605,"High-income countries","Developed Countries"
"Netherlands","NLD",2015,1829.598,129.51035,4911.1274,2.14606,0.29227072,"High-income countries","Developed Countries"
"Netherlands","NLD",2016,1808.062,133.72644,5128.7715,2.15081,0.34874204,"High-income countries","Developed Countries"
"Netherlands","NLD",2017,1808.9098,130.23615,5302.3447,2.17857,0.28876072,"High-income countries","Developed Countries"
"Netherlands","NLD",2018,1812.6417,122.12165,5535.476,2.1388,0.7462137,"High-income countries","Developed Countries"
"Netherlands","NLD",2019,1811.7778,128.31693,5640.2456,2.18435,1.3684956,"High-income countries","Developed Countries"
"Netherlands","NLD",2020,1914.4048,126.07142,5865.7266,2.32182,1.0772971,"High-income countries","Developed Countries"
"New Zealand","NZL",2013,1737.0375,362.64438,4045.2534,1.15339,1.5716708,"High-income countries","Developed Countries"
"New Zealand","NZL",2015,1690.7692,257.91885,5492.042,1.22817,3.6844091,"High-income countries","Developed Countries"
"New Zealand","NZL",2017,1693.6244,213.64221,5098.764,1.34912,2.077815,"High-income countries","Developed Countries"
"New Zealand","NZL",2019,1704.8706,65.33532,5724.1313,1.40641,1.002122,"High-income countries","Developed Countries"
"Norway","NOR",2013,2010.0609,216.70383,5604.371,1.64216,0.19684555,"High-income countries","Developed Countries"
"Norway","NOR",2014,2033.8401,215.26196,5722.012,1.70369,0.3893022,"High-income countries","Developed Countries"
"Norway","NOR",2016,2126.1675,234.31274,6120.13,2.03287,0.57295895,"High-income countries","Developed Countries"
"Norway","NOR",2017,2211.7195,218.28947,6395.44,2.08167,0.37901714,"High-income countries","Developed Countries"
"Norway","NOR",2018,2267.2275,203.67744,6483.526,2.03482,1.1295711,"High-income countries","Developed Countries"
"Norway","NOR",2019,2319.9006,178.93587,6736.8516,2.136,0.93497527,"High-income countries","Developed Countries"
"Norway","NOR",2020,2465.144,163.57376,6765.3325,2.24436,1.4871895,"High-income countries","Developed Countries"
"Oman","OMN",2016,174.69896,0.68211585,249.89384,0.22691,0.22774477,"High-income countries","Developed Countries"
"Panama","PAN",2016,37.51548,16.888796,96.95523,0.1324,0.4963906,"Upper-middle-income countries","Developing Countries"
"Philippines","PHL",2015,13.005846,3.6396685,105.66805,0.15683,0.03798202,"Lower-middle-income countries","Developing Countries"
"Philippines","PHL",2018,19.395622,4.872485,172.00786,0.32222,0.018270632,"Lower-middle-income countries","Developing Countries"
"Poland","POL",2013,762.511,109.74593,1850.4167,0.88483,0.15682475,"High-income countries","Developed Countries"
"Poland","POL",2014,799.5551,102.14639,2037.3788,0.95076,0.20906772,"High-income countries","Developed Countries"
"Poland","POL",2015,842.235,121.28711,2141.1824,1.00423,0.49652025,"High-income countries","Developed Countries"
"Poland","POL",2016,880.114,110.5831,2288.0818,0.96821,0.36588624,"High-income countries","Developed Countries"
"Poland","POL",2017,871.3703,101.83527,2973.766,1.03785,0.26140398,"High-income countries","Developed Countries"
"Poland","POL",2018,907.8788,109.21184,3056.7678,1.2061,0.49684802,"High-income countries","Developed Countries"
"Poland","POL",2019,904.4706,100.97782,3136.3904,1.32335,0.3400837,"High-income countries","Developed Countries"
"Poland","POL",2020,956.7575,104.35,3238.2092,1.38608,0.20958316,"High-income countries","Developed Countries"
"Portugal","PRT",2014,1356.4235,69.36719,3656.646,1.28992,0.09609654,"High-income countries","Developed Countries"
"Portugal","PRT",2015,1391.0046,89.23889,3724.797,1.2433,0.48214772,"High-income countries","Developed Countries"
"Portugal","PRT",2016,1360.8341,70.06847,3995.6255,1.28075,0.9665219,"High-income countries","Developed Countries"
"Portugal","PRT",2017,1360.9645,62.478607,4355.7476,1.31928,0.5807855,"High-income countries","Developed Countries"
"Portugal","PRT",2018,1406.812,64.23817,4627.1724,1.34955,1.0653389,"High-income countries","Developed Countries"
"Portugal","PRT",2019,1547.9564,68.31928,4879.319,1.39562,0.29004514,"High-income countries","Developed Countries"
"Portugal","PRT",2020,1660.3799,67.48762,5163.3535,1.61392,0.7714175,"High-income countries","Developed Countries"
"Romania","ROU",2015,515.3813,48.980015,874.7279,0.48796,0.3019473,"Upper-middle-income countries","Developing Countries"
"Romania","ROU",2016,474.13956,50.763165,908.9898,0.48864,0.10112732,"Upper-middle-income countries","Developing Countries"
"Romania","ROU",2017,487.74008,55.73929,887.3094,0.50693,0.25394368,"Upper-middle-income countries","Developing Countries"
"Romania","ROU",2018,463.7794,56.103046,875.7624,0.49729,0.25512972,"Upper-middle-income countries","Developing Countries"
"Romania","ROU",2019,520.27454,45.12346,887.0736,0.47616,0.30766797,"High-income countries","Developed Countries"
"Romania","ROU",2020,499.45685,42.02234,940.54663,0.46538,0.46409768,"Upper-middle-income countries","Developing Countries"
"Russia","RUS",2013,266.01648,199.8168,3064.1555,1.02732,0.31119448,"High-income countries","Developed Countries"
"Russia","RUS",2014,303.81744,166.83638,3086.5908,1.07241,0.5727075,"High-income countries","Developed Countries"
"Russia","RUS",2015,353.11475,202.31787,3109.7632,1.10085,0.67443126,"Upper-middle-income countries","Developing Countries"
"Russia","RUS",2016,414.8952,184.6541,2959.9658,1.10238,0.93978083,"Upper-middle-income countries","Developing Countries"
"Russia","RUS",2017,463.3606,156.59402,2825.5396,1.10967,1.2449825,"Upper-middle-income countries","Developing Countries"
"Russia","RUS",2018,522.7898,171.13359,2787.2463,0.99002,1.4341309,"Upper-middle-income countries","Developing Countries"
"Russia","RUS",2019,598.0977,160.1251,2749.4854,1.03531,1.1533233,"Upper-middle-income countries","Developing Countries"
"Russia","RUS",2020,617.832,163.16052,2724.9072,1.09099,1.2912368,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2013,697.29315,26.56385,1718.6174,0.68367,0.13743468,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2014,668.6364,26.776371,1822.7003,0.72309,0.13836612,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2015,650.86505,23.671783,2060.1477,0.8109,0.139329,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2016,664.6535,25.62293,2121.8923,0.83822,0.28065908,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2017,650.0143,22.90726,2067.7327,0.87238,0.28274515,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2018,638.2851,21.926802,2075.986,0.91891,0.7122491,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2019,667.3616,22.699463,2087.2764,0.88667,0.5742049,"Upper-middle-income countries","Developing Countries"
"Serbia","SRB",2020,644.378,18.755072,2149.8533,0.90558,0.72381765,"Upper-middle-income countries","Developing Countries"
"Singapore","SGP",2013,1998.1898,208.65039,6631.4062,1.92104,4.8276987,"High-income countries","Developed Countries"
"Singapore","SGP",2014,2004.0751,233.91057,6632.226,2.08228,6.595945,"High-income countries","Developed Countries"
"Singapore","SGP",2015,2011.747,259.99908,6977.6694,2.17445,5.97248,"High-income countries","Developed Countries"
"Singapore","SGP",2016,2065.2017,280.29025,6897.0444,2.07291,9.143166,"High-income countries","Developed Countries"
"Singapore","SGP",2017,2073.3425,279.12274,6777.637,1.89905,19.806973,"High-income countries","Developed Countries"
"Singapore","SGP",2018,2023.9854,270.87253,6786.696,1.80958,35.673927,"High-income countries","Developed Countries"
"Singapore","SGP",2019,1990.6696,294.38797,7275.6313,1.88506,26.633451,"High-income countries","Developed Countries"
"Singapore","SGP",2020,2067.9275,300.85245,7224.748,2.16305,9.252422,"High-income countries","Developed Countries"
"Slovakia","SVK",2015,917.2397,42.031918,2656.8022,1.15727,0.7379694,"High-income countries","Developed Countries"
"Slovakia","SVK",2020,993.2906,37.751884,3165.595,0.89781,0.73326844,"High-income countries","Developed Countries"
"Slovenia","SVN",2018,1591.9468,121.086586,4788.8467,1.94594,1.9328489,"High-income countries","Developed Countries"
"South Africa","ZAF",2013,177.22147,11.842533,436.31116,0.6633,0.018288627,"Upper-middle-income countries","Developing Countries"
"South Africa","ZAF",2014,186.23465,14.653873,434.589,0.70987,0.053961843,"Upper-middle-income countries","Developing Countries"
"South Africa","ZAF",2016,211.35146,12.477343,489.2008,0.74992,0.052393008,"Upper-middle-income countries","Developing Countries"
"South Africa","ZAF",2017,226.90036,12.852833,524.1455,0.76257,0.052051563,"Upper-middle-income countries","Developing Countries"
"South Africa","ZAF",2018,234.08296,11.458043,510.97357,0.68773,0.06824425,"Upper-middle-income countries","Developing Countries"
"South Africa","ZAF",2019,258.22,9.76121,491.40997,0.6143,0.016781935,"Upper-middle-income countries","Developing Countries"
"South Africa","ZAF",2020,270.1362,9.217385,472.6809,0.6036,0.09907141,"Upper-middle-income countries","Developing Countries"
"South Korea","KOR",2013,1144.7197,3193.2866,6453.847,3.95124,5.811728,"High-income countries","Developed Countries"
"South Korea","KOR",2014,1187.5968,3245.2402,6864.206,4.07786,7.2221375,"High-income countries","Developed Countries"
"South Korea","KOR",2015,1225.7439,3280.2625,7018.359,3.9782,8.963613,"High-income countries","Developed Countries"
"South Korea","KOR",2016,1219.2463,3185.0332,7056.343,3.98704,22.57405,"High-income countries","Developed Countries"
"South Korea","KOR",2017,1236.65,3088.3118,7450.5576,4.29206,46.148228,"High-income countries","Developed Countries"
"South Korea","KOR",2018,1285.0765,3145.719,7913.5015,4.51633,80.575676,"High-income countries","Developed Countries"
"South Korea","KOR",2019,1330.6807,3312.5542,8322.588,4.62703,127.39569,"High-income countries","Developed Countries"
"South Korea","KOR",2020,1398.223,3481.109,8614.635,4.79571,159.97383,"High-income countries","Developed Countries"
"Spain","ESP",2013,1165.3469,64.9308,2638.0278,1.27482,0.46947962,"High-income countries","Developed Countries"
"Spain","ESP",2014,1194.8423,63.55383,2628.9438,1.24159,0.6849288,"High-income countries","Developed Countries"
"Spain","ESP",2015,1177.355,60.282555,2636.8477,1.22179,0.79256815,"High-income countries","Developed Countries"
"Spain","ESP",2016,1185.2368,59.066147,2727.4287,1.18986,1.0699131,"High-income countries","Developed Countries"
"Spain","ESP",2017,1183.2058,46.51795,2863.7502,1.20977,1.1094849,"High-income countries","Developed Countries"
"Spain","ESP",2018,1203.6766,32.59101,3003.5627,1.24151,1.0404984,"High-income countries","Developed Countries"
"Spain","ESP",2019,1246.547,27.32787,3067.6611,1.25025,0.96974564,"High-income countries","Developed Countries"
"Spain","ESP",2020,1385.8341,30.212942,3071.4482,1.41039,0.880882,"High-income countries","Developed Countries"
